strategy,symbol,hour,n,wins,total,avg,hit
rsi2_extreme_reversion,6E,22,12,1,1152.7610626220703,96.06342188517253,8.333333333333332
donchian_breakout,ZT,13,6,3,1141.3874999999146,190.23124999998575,50.0
opening_range_breakout,NQ,19,11,5,1138.4714285713765,103.49740259739787,45.45454545454545
order_block,6E,11,9,7,1123.280340443279,124.8089267159199,77.77777777777779
opening_range_breakout,ES,3,24,9,1122.5178571427532,46.77157738094805,37.5
fair_value_gap,ES,20,26,12,1118.5999999997723,43.02307692306817,46.15384615384615
support_resistance_bounce,6E,19,11,4,1118.5642749377264,101.68766135797513,36.36363636363637
fair_value_gap,ZB,2,57,24,1110.8062499999999,19.487828947368417,42.10526315789473
fair_value_gap,ZT,13,58,27,1109.3129464279016,19.126085283239682,46.55172413793103
support_resistance_bounce,ES,23,11,2,1071.1857142857793,97.3805194805254,18.181818181818183
donchian_breakout,6E,3,13,6,1069.6994766235407,82.28457512488775,46.15384615384615
order_block,NG,14,10,7,1062.8345496177717,106.28345496177717,70.0
keltner_breakout,ZF,15,13,8,1062.5453125001363,81.7342548077028,61.53846153846154
opening_range_breakout,NQ,22,11,5,1062.378571428696,96.57987012988146,45.45454545454545
fair_value_gap,ZT,2,63,31,1058.9361607141639,16.808510487526412,49.2063492063492
inside_bar_break,NG,7,86,39,1043.7639980861052,12.136790675419828,45.348837209302324
support_resistance_bounce,ZF,12,21,6,1036.178571428612,49.34183673469581,28.57142857142857
liquidity_sweep,ES,6,29,13,1017.3803571430259,35.08208128079399,44.827586206896555
order_block,NG,21,20,11,1014.7463465827258,50.73731732913629,55.00000000000001
narrow_range_break,NQ,2,6,3,1004.0571428571013,167.34285714285022,50.0
fair_value_gap,CL,15,6,5,983.6916349138714,163.94860581897856,83.33333333333334
bollinger_squeeze_break,ZT,12,8,6,969.5558035713595,121.19447544641994,75.0
opening_range_breakout,ES,13,11,5,966.5071428572012,87.86428571429101,45.45454545454545
liquidity_sweep,ZB,14,28,14,958.1205357142633,34.218590561223685,50.0
donchian_breakout,ZB,3,11,1,956.3499999999971,86.94090909090882,9.090909090909092
support_resistance_bounce,NG,5,14,4,955.3987383978625,68.24276702841875,28.57142857142857
fair_value_gap,NQ,3,13,7,952.7785714286233,73.29065934066332,53.84615384615385
opening_range_breakout,NG,6,20,8,950.8553594861814,47.54276797430907,40.0
bollinger_squeeze_break,6E,1,26,12,950.0091759476035,36.53881445952321,46.15384615384615
narrow_range_break,ES,7,19,7,945.6285714285779,49.76992481203041,36.84210526315789
support_resistance_bounce,ZF,21,19,4,943.274553571388,49.64602913533621,21.052631578947366
fair_value_gap,ES,3,31,14,941.8142857142205,30.381105990781307,45.16129032258064
